Publisher (costs in MEUR),2010,2011,2012,2013,2014,2015,2016,2017,Total,%
Project Muse,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.17,0.08
McGraw-Hill Education,0,0.01,0.01,0.01,0.02,0.01,0.02,0.09,0.17,0.08
Nationalencyklopedin,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.15,0.08
World Global Style Network (WGSN),0,0.01,0.01,0.01,0.02,0.03,0.03,0.03,0.15,0.07
Ellibs,0,0,0.01,0.01,0.01,0.02,0.03,0.06,0.14,0.07
SPIE,0,0,0.02,0.02,0.02,0.02,0.02,0.02,0.13,0.06
Optical Society of America,0,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.12,0.06
IOP Publishing,0,0,0,0,0,0,0.06,0.05,0.12,0.06
The Financial Times,0,0,0.01,0.01,0.01,0.02,0.03,0.03,0.11,0.06
OECD/Wize Nordic AB,0.01,0.01,0.02,0.02,0.02,0.01,0.01,0.01,0.11,0.06
LexisNexis,0,0.01,0.01,0.01,0.02,0.02,0.02,0.01,0.11,0.06
American Society of Civil Engineers (ASCE),0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.02,0.11,0.05
Mary Ann Liebert Inc,0,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.11,0.05
Helsingin seudun kauppakamari,0,0,0.01,0.01,0.01,0.01,0.03,0.04,0.1,0.05
Artstor,0,0.02,0.01,0.01,0.01,0.01,0.02,0.02,0.09,0.05
SCOAP3,0,0,0,0,0.02,0.02,0.03,0.03,0.09,0.05
Gartner,0.03,0.03,0.03,0,0,0,0,0,0.09,0.05
Suomalaisen Kirjallisuuden Seura (SKS),0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.08,0.04
Datamonitor,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.08,0.04
Economist Intelligence Unit,0,0,0,0,0,0,0,0.08,0.08,0.04
CSC-Tieteen tietotekniikan keskus,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.08,0.04
The Optical Society (OSA),0.01,0.01,0.01,0.01,0.01,0.01,0,0,0.08,0.04
American Medical Association (AMA),0,0,0.01,0.01,0.01,0.02,0.02,0,0.08,0.04
Suomen Tilintarkastajat ry,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.08,0.04
Cambridge University Press,0,0,0,0,0,0.01,0.02,0.04,0.07,0.04
Burgundy,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.07,0.04
Alexander Street Press,0,0.01,0,0.01,0.01,0.01,0.01,0.01,0.07,0.04
William S. Hein & Co. Inc.,0,0,0,0.01,0,0.01,0.01,0.03,0.07,0.03
East View,0.01,0.01,0,0.01,0,0,0.01,0.01,0.06,0.03
