Publisher,2010,2011,2012,2013,2014,2015,2016,2017
Niedersächsische Staats-und Universitätsbibliothek Göttingen,1,1,1,1.08,1.08,1.08,1.08,1.08
BTJ Kirjastopalvelu,1,1.04,1.39,1.04,0.97,1.02,1.04,0.99
Sanoma,1,NA,NA,54.82,51.06,1.52,0.39,0.94
East View,1,0.86,0.38,0.88,0.11,0.14,0.94,0.94
OECD/Wize Nordic AB,1,1.03,1.05,1.09,1.11,0.77,0.86,0.79
Centre for Economic Policy Research (CEPR),1,0.89,1.02,0.84,0.85,0.85,0.65,0.76
ETLA,1,0.82,0.82,0.82,0.68,0.68,0.64,0.64
Viite & Hakuteos & kokotekstietokannat:  tilattu useilta kotimaiselta ja kansainväliseltä kustantajalta tai välittäjältä,1,0.29,0.6,0.66,0.58,1,0.86,0.53
Kansalliskirjasto,1,1.03,1.16,1.13,1.21,1.2,1.4,0.51
Kompass,1,0.9,0.9,0.48,0.48,0.48,0.49,0.48
PrioInfo,1,0.79,0.74,0.73,NA,NA,0.45,0.45
Fonecta,1,1.33,1.33,NA,NA,NA,0.37,0.37
Tilastokeskus,1,0.92,1,0.5,0.46,0.32,0.32,0.32
ASM International,1,0.53,0.6,0.59,0.21,0.23,0.25,0.25
Wolters Kluwer,1,0.86,0.95,0.9,1.05,1.1,0.21,0.19
Palgrave Macmillan,1,1.73,2.34,2.57,3.18,3.93,7.66,0.18
Maney Publishing,1,0.75,0.78,0.89,0.13,0.16,0.15,0.16
Thomson Reuters,1,1.1,1.36,1.49,1.59,1.92,2.27,0.12
Helsingin Sanomat,1,0.97,1.04,1.11,1.17,1.18,0.06,0.12
Talentum,1,1.13,1.23,1.36,1.79,3.35,NA,0.09
