Way.of.acquisition,Total (MEUR),Percent (%)
FinELib-konsortio,101.61173872,51.1
FinELib-konsortio; Oma sopimus,74.822358,37.7
Oma sopimus,22.238915,11.2
AMKIT-konsortio,0.056293,0
